,street,speed,pin,x,y
0,Abbotsford,20,02121,0,0
1,Abbotsford,20,02121,1,1
2,Abbotsford,20,02121,2,2
3,Abbotsford,20,02121,3,3
4,Abbotsford,20,02121,4,4
5,Abbotsford,20,02121,5,5
6,Abbotsford,20,02121,5,5
7,Abbotsford,20,02121,6,6
8,Abbotsford,20,02121,7,7
9,Abby,15,02135,8,8
10,Abby,15,02135,9,9
11,Abby,15,02135,10,10
12,Abby,15,02135,11,11
13,Acacia,20,02132,12,12
14,Acacia,20,02132,13,13
15,Acacia,20,02132,14,14
16,Academy,15,02119,15,15
17,Academy,15,02119,16,16
18,Academy Hill,20,02135,17,17
19,Academy Hill,20,02135,18,18
20,Academy Hill,20,02135,19,19
21,Academy Hill,20,02135,20,20
22,Academy Hill,20,02135,21,21
23,Academy Hill,20,02135,21,21
24,Academy Hill,20,02135,22,22
25,Academy Hill,15,02135,22,22
26,Academy Hill,15,02135,23,23
27,Academy,15,02119,15,15
28,Academy,15,02119,24,24
29,Academy,15,02119,24,24
30,Academy,15,02119,25,25
31,Academy,15,02119,26,26
32,Academy,15,02119,26,26
33,Academy,15,02119,27,27
34,Academy,15,02119,28,28
35,Academy,15,02119,29,29
36,Academy,15,02119,30,30
37,Academy,15,02119,31,31
38,Academy,15,02119,32,32
39,Academy,15,02119,33,33
40,Academy,15,02119,34,34
41,Academy,15,02119,24,24
42,Academy,15,02119,35,35
43,Acadia,15,02127,36,36
44,Acadia,15,02127,37,37
45,Ackley,15,02130,38,38
46,Ackley,15,02130,39,39
47,Ackley,15,02130,40,40
48,Ackley,15,02130,41,41
49,Ackley,15,02130,42,42
50,Ackley,15,02130,43,43
51,Acorn,15,02108,44,44
52,Acorn,15,02108,45,45
53,Acton,20,02136,46,46
54,Acton,20,02136,47,47
55,Adams,15,02127,48,48
56,Adams,15,02127,49,49
57,Adams,25,02122,50,50
58,Adams,25,02122,51,51
59,Adams,25,02122,52,52
60,Adams,25,02122,53,53
61,Adams,25,02122,54,54
62,Adams,25,02122,55,55
63,Adams,25,02122,56,56
64,Adams,25,02122,56,56
65,Adams,25,02122,57,57
66,Adams,25,02122,58,58
67,Adams,25,02122,58,58
68,Adams,25,02122,59,59
69,Adams,25,02122,60,60
70,Adams,25,02122,61,61
71,Adams,25,02122,61,61
72,Adams,25,02122,62,62
73,Adams,25,02122,63,63
74,Adams,25,02122,63,63
75,Adams,25,02122,64,64
76,Adams,25,02122,65,65
77,Adams,25,02122,66,66
78,Alleghany,15,02120,67,67
79,Alleghany,15,02120,68,68
80,Alleghany,15,02120,69,69
81,Alleghany,15,02120,70,70
82,Allenwood,20,02132,71,71
83,Allenwood,20,02132,72,72
84,Allenwood,20,02132,73,73
85,Allen,20,02131,74,74
86,Allen,20,02131,75,75
87,Allen,20,02131,76,76
88,Allerton,20,02119,77,77
89,Allerton,20,02119,78,78
90,Allerton,20,02119,78,78
91,Allerton,20,02119,79,79
92,Allerton,20,02119,79,79
93,Allerton,20,02119,80,80
