,OBJECTID,SEGMENT_ID,L_F_ADD,L_T_ADD,R_F_ADD,R_T_ADD,PRE_DIR,ST_NAME,ST_TYPE,SUF_DIR,MUN_L,MUN_R,CFCC,SPEEDLIMIT,ONEWAY,HEIGHT,WEIGHT,WIDTH,F_ZLEV,T_ZLEV,SHIELD,HWY_NUM,NBHD_L,NBHD_R,FT_COST,TF_COST,TF_DIR,FT_DIR,STATE00_L,STATE00_R,COUNTY00_L,COUNTY00_R,PLACE00_L,PLACE00_R,TRACT00_L,TRACT00_R,BLOCK00_L,BLOCK00_R,MCD00_L,MCD00_R,STREET_ID,SHAPElen,geometry,points
35,36,44,2,14,1,13,,Allerton,ST,,Boston,Boston,A41,20,,,,,0,0,,,Roxbury,Roxbury,0.128,0.128, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,85,226.90234016542746,"LINESTRING (-7911728.485703262 5210534.414638403, -7911658.345615875 5210472.494380959)",<shapely.coords.CoordinateSequence object at 0x14d6261f0>
36,37,45,16,30,15,23,,Allerton,ST,,Boston,Boston,A41,20,,,,,0,0,,,Roxbury,Roxbury,0.109,0.109, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,85,189.6331668101776,"LINESTRING (-7911658.345615875 5210472.494380959, -7911601.105308625 5210419.212817068)",<shapely.coords.CoordinateSequence object at 0x14d626190>
37,38,46,32,36,25,37,,Allerton,ST,,Boston,Boston,A41,20,,,,,0,0,,,Roxbury,Roxbury,0.103,0.103, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,85,177.46064682799482,"LINESTRING (-7911601.105308625 5210419.212817068, -7911547.915978381 5210368.947332833)",<shapely.coords.CoordinateSequence object at 0x14d626130>
38,39,47,38,98,39,59,,Allerton,ST,,Boston,Boston,A41,20,,,,,0,0,,,Roxbury,Roxbury,0.115,0.115, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,85,198.06496371352065,"LINESTRING (-7911547.915978381 5210368.947332833, -7911488.245158587 5210313.174216248)",<shapely.coords.CoordinateSequence object at 0x14d6260d0>
39,40,48,100,998,61,199,,Allerton,ST,,Boston,Boston,A41,20,,,,,0,0,,,Roxbury,Roxbury,0.242,0.242, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,85,429.07893867982244,"LINESTRING (-7911488.245158587 5210313.174216248, -7911440.756091608 5210270.581681402, -7911394.990294259 5210197.52489193, -7911382.968066243 5210173.292887202)",<shapely.coords.CoordinateSequence object at 0x14d626070>
85,86,101,30,48,19,39,,Adams,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Roxbury,Roxbury,0.125,-1.0, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,21,227.6053368146507,"LINESTRING (-7912171.398717804 5210352.266744746, -7912198.694376077 5210324.178873685, -7912235.917854882 5210284.078038785)",<shapely.coords.CoordinateSequence object at 0x14d622d90>
122,123,146,340,360,367,371,,Albany,ST,,Boston,Boston,A31,25,FT,,,,0,0,,,Boston,Boston,0.03534023,-1.0, , ,MA,MA,025,025,07000,07000,02118,02118, , ,07000,07000,51,77.74850929707596,"LINESTRING (-7910675.295951259 5212402.185116061, -7910676.36630979 5212399.194320516, -7910686.1833234 5212371.968587964)",<shapely.coords.CoordinateSequence object at 0x14d621d90>
123,124,147,492,502,503,527,,Albany,ST,,Boston,Boston,A31,25,,,,,0,0,,,Boston,Boston,0.162,0.162, , ,MA,MA,025,025,07000,07000,02118,02118, , ,07000,07000,51,364.7371755164344,"LINESTRING (-7910977.49065727 5211923.820986509, -7911085.896654572 5211819.509556444)",<shapely.coords.CoordinateSequence object at 0x14d621d30>
124,125,148,540,580,541,581,,Albany,ST,,Boston,Boston,A31,25,,,,,0,0,,,Boston,Boston,0.09872737,0.09872737, , ,MA,MA,025,025,07000,07000,02118,02118, , ,07000,07000,51,217.2002057205513,"LINESTRING (-7911151.192770128 5211756.614024014, -7911215.789129732 5211694.541537997)",<shapely.coords.CoordinateSequence object at 0x14d621cd0>
125,126,149,582,592,583,597,,Albany,ST,,Boston,Boston,A31,25,,,,,0,0,,,Boston,Boston,0.114,0.114, , ,MA,MA,025,025,07000,07000,02118,02118, , ,07000,07000,51,254.4200648506939,"LINESTRING (-7911215.789129732 5211694.541537997, -7911220.262892313 5211690.22514623, -7911291.503359101 5211621.884182069)",<shapely.coords.CoordinateSequence object at 0x14d621c70>
